1153732090983096421,1153348653122076676,berkingurcan,tırorroaıroskapdjasndmksaöldasbdnjmas,2023-09-19T16:39:25.796Z,,,1153732047475585054: helo,
1153732047475585054,1153348653122076676,berkingurcan,helo,2023-09-19T16:39:15.423Z,,,,
1153643142629830706,1153348653122076676,berkingurcan,😛,2023-09-19T10:45:58.856Z,,,,
1153643088984670239,1153348653122076676,berkingurcan,resimi nasıl alıyor acaba ammmmmmmmk,2023-09-19T10:45:46.066Z,,,1153643022714675211: ,
1153643022714675211,1153348653122076676,berkingurcan,,2023-09-19T10:45:30.266Z,,,,
1153642874878046258,1153348653122076676,berkingurcan,"````
Ok([(MessageId(1153642659659923527), ChannelId(1153348653122076676), ""berkingurcan"", ""FOŞO"", Timestamp(2023-09-19T10:44:03.707Z), [], [], None, None), (MessageId(1153640855920443393), ChannelId(1153348653122076676), ""berkingurcan"", ""<@388033380903682058> zıt erenköy"", Timestamp(2023-09-19T10:36:53.662Z), [(UserId(388033380903682058), ""ceneksanzak"")], [], None, None),
````",2023-09-19T10:44:55.019Z,,,,
1153642659659923527,1153348653122076676,berkingurcan,FOŞO,2023-09-19T10:44:03.707Z,,,,
1153640855920443393,1153348653122076676,berkingurcan,<@388033380903682058> zıt erenköy,2023-09-19T10:36:53.662Z,388033380903682058: ceneksanzak,,,
1153640711430885407,1153348653122076676,berkingurcan,@everyone ehehe,2023-09-19T10:36:19.213Z,,,,
1153640563158040586,1153348653122076676,berkingurcan,da,2023-09-19T10:35:43.862Z,,,,
1153639574489280562,1153348653122076676,berkingurcan,oppa bleza,2023-09-19T10:31:48.145Z,,,,
1153638886359179305,1153348653122076676,berkingurcan,proje içinde proje amınakoyım deneyimin anasını sikicez,2023-09-19T10:29:04.082Z,,,,
1153638784794103889,1153348653122076676,berkingurcan,güzel data veriyo discord,2023-09-19T10:28:39.867Z,,,,
1153638742372917249,1153348653122076676,berkingurcan,bu dataları ammınakoyım maşin learning yapsak anlamlı şeyler çıkarır,2023-09-19T10:28:29.753Z,,,,
1153638673267576874,1153348653122076676,ceneksanzak,biraderim için,2023-09-19T10:28:13.277Z,,,,
1153638646155575387,1153348653122076676,ceneksanzak,denemebotiçin,2023-09-19T10:28:06.813Z,843590451348111420: berkingurcan,,1153638507831623721: soru sormuyom ha 😄 normal rasgele bi şeyler atıyom data çıksın diye,
1153638507831623721,1153348653122076676,berkingurcan,soru sormuyom ha 😄 normal rasgele bi şeyler atıyom data çıksın diye,2023-09-19T10:27:33.834Z,388033380903682058: ceneksanzak,,1153637830808059934: nasi,
1153638405427712020,1153348653122076676,berkingurcan,cevab,2023-09-19T10:27:09.419Z,388033380903682058: ceneksanzak,,1153637830808059934: nasi,
1153637830808059934,1153348653122076676,ceneksanzak,nasi,2023-09-19T10:24:52.419Z,,"1, 🔥",,
